Net:-5.85741109145, Trade:2.53987526826, Cost:8.39728635971, Avg:-0.0468592887316 Std:0.0395129190582 Trades/Day:120.088, et:0, leb:2, bs:1, ueb:3,
Net:-3.68297462541, Trade:3.36345318327, Cost:7.04642780867, Avg:-0.0294637970033 Std:0.0334557792442 Trades/Day:89.92, et:0, leb:2, bs:2, ueb:3,
Net:-2.83718285036, Trade:3.07431005242, Cost:5.91149290279, Avg:-0.0226974628029 Std:0.0312674036717 Trades/Day:64.184, et:0, leb:2, bs:3, ueb:3,
Net:-2.18132454031, Trade:3.01940620903, Cost:5.20073074934, Avg:-0.0174505963225 Std:0.0292373415095 Trades/Day:47.744, et:0, leb:2, bs:4, ueb:3,
Net:-1.98478526272, Trade:2.90521101268, Cost:4.88999627541, Avg:-0.0158782821018 Std:0.0302453098584 Trades/Day:40.232, et:0, leb:2, bs:5, ueb:3,
Net:-1.98104818143, Trade:2.79644913841, Cost:4.77749731983, Avg:-0.0158483854514 Std:0.0299810155102 Trades/Day:37.608, et:0, leb:2, bs:6, ueb:3,
Net:-1.95593390465, Trade:2.78972336573, Cost:4.74565727038, Avg:-0.0156474712372 Std:0.0299611902409 Trades/Day:36.76, et:0, leb:2, bs:7, ueb:3,
Net:-1.94886540271, Trade:2.78544645177, Cost:4.73431185448, Avg:-0.0155909232217 Std:0.0297086939274 Trades/Day:36.472, et:0, leb:2, bs:8, ueb:3,
Net:-1.96433311523, Trade:2.76818053646, Cost:4.73251365169, Avg:-0.0157146649218 Std:0.0297217315528 Trades/Day:36.392, et:0, leb:2, bs:9, ueb:3,
Net:-4.60645071332, Trade:3.12596265948, Cost:7.7324133728, Avg:-0.0368516057066 Std:0.0377008449639 Trades/Day:104.688, et:1, leb:2, bs:1, ueb:3,
Net:-2.20332138132, Trade:3.37738546503, Cost:5.58070684634, Avg:-0.0176265710505 Std:0.0333333815494 Trades/Day:55.616, et:1, leb:2, bs:2, ueb:3,
Net:-1.95239374145, Trade:2.94867009124, Cost:4.90106383269, Avg:-0.0156191499316 Std:0.0297841252272 Trades/Day:40.136, et:1, leb:2, bs:3, ueb:3,
Net:-1.92630838564, Trade:2.82795614486, Cost:4.7542645305, Avg:-0.0154104670851 Std:0.0298098719141 Trades/Day:36.936, et:1, leb:2, bs:4, ueb:3,
Net:-1.9569079482, Trade:2.78080308682, Cost:4.73771103503, Avg:-0.0156552635856 Std:0.0295637908441 Trades/Day:36.504, et:1, leb:2, bs:5, ueb:3,
Net:-1.96441640247, Trade:2.76881668324, Cost:4.7332330857, Avg:-0.0157153312197 Std:0.0296809494036 Trades/Day:36.408, et:1, leb:2, bs:6, ueb:3,
Net:-1.96340698487, Trade:2.7688813638, Cost:4.73228834867, Avg:-0.015707255879 Std:0.0296727966128 Trades/Day:36.384, et:1, leb:2, bs:7, ueb:3,
Net:-1.96188913045, Trade:2.76901193395, Cost:4.7309010644, Avg:-0.0156951130436 Std:0.0296717170814 Trades/Day:36.36, et:1, leb:2, bs:8, ueb:3,
Net:-1.96188913045, Trade:2.76901193395, Cost:4.7309010644, Avg:-0.0156951130436 Std:0.0296717170814 Trades/Day:36.36, et:1, leb:2, bs:9, ueb:3,
Net:-2.15685025613, Trade:3.30445366965, Cost:5.46130392578, Avg:-0.0172548020491 Std:0.0334425195842 Trades/Day:52.976, et:2, leb:2, bs:1, ueb:3,
Net:-1.93444320039, Trade:2.84885482215, Cost:4.78329802255, Avg:-0.0154755456031 Std:0.0301867324643 Trades/Day:37.584, et:2, leb:2, bs:2, ueb:3,
Net:-1.95682949872, Trade:2.77862607626, Cost:4.73545557498, Avg:-0.0156546359897 Std:0.02973681014 Trades/Day:36.496, et:2, leb:2, bs:3, ueb:3,
Net:-1.95849971098, Trade:2.77317694996, Cost:4.73167666094, Avg:-0.0156679976878 Std:0.0296891081848 Trades/Day:36.376, et:2, leb:2, bs:4, ueb:3,
Net:-1.96188913045, Trade:2.76901193395, Cost:4.7309010644, Avg:-0.0156951130436 Std:0.0296717170814 Trades/Day:36.36, et:2, leb:2, bs:5, ueb:3,
Net:-1.96188913045, Trade:2.76901193395, Cost:4.7309010644, Avg:-0.0156951130436 Std:0.0296717170814 Trades/Day:36.36, et:2, leb:2, bs:6, ueb:3,
Net:-1.96188913045, Trade:2.76901193395, Cost:4.7309010644, Avg:-0.0156951130436 Std:0.0296717170814 Trades/Day:36.36, et:2, leb:2, bs:7, ueb:3,
Net:-1.96188913045, Trade:2.76901193395, Cost:4.7309010644, Avg:-0.0156951130436 Std:0.0296717170814 Trades/Day:36.36, et:2, leb:2, bs:8, ueb:3,
Net:-1.96188913045, Trade:2.76901193395, Cost:4.7309010644, Avg:-0.0156951130436 Std:0.0296717170814 Trades/Day:36.36, et:2, leb:2, bs:9, ueb:3,
Net:-7.17181692193, Trade:3.32279639322, Cost:10.4946133152, Avg:-0.0573745353755 Std:0.0545986717681 Trades/Day:146.288, et:0, leb:2, bs:1, ueb:4,
Net:-4.36081786596, Trade:4.27649495316, Cost:8.63731281912, Avg:-0.0348865429277 Std:0.0455048259803 Trades/Day:104.8, et:0, leb:2, bs:2, ueb:4,
Net:-3.36262963632, Trade:3.92662321131, Cost:7.28925284762, Avg:-0.0269010370905 Std:0.0410050857467 Trades/Day:74.408, et:0, leb:2, bs:3, ueb:4,
Net:-2.69207843798, Trade:3.851883482, Cost:6.54396191999, Avg:-0.0215366275039 Std:0.0397415921514 Trades/Day:57.352, et:0, leb:2, bs:4, ueb:4,
Net:-2.56282823674, Trade:3.69305548286, Cost:6.2558837196, Avg:-0.0205026258939 Std:0.0405031293589 Trades/Day:50.168, et:0, leb:2, bs:5, ueb:4,
Net:-2.545798016, Trade:3.61498317909, Cost:6.1607811951, Avg:-0.020366384128 Std:0.0400207066156 Trades/Day:47.936, et:0, leb:2, bs:6, ueb:4,
Net:-2.52920742336, Trade:3.60423370562, Cost:6.13344112898, Avg:-0.0202336593869 Std:0.0401778219021 Trades/Day:47.184, et:0, leb:2, bs:7, ueb:4,
Net:-2.50745048882, Trade:3.61175846812, Cost:6.11920895694, Avg:-0.0200596039106 Std:0.0402040194107 Trades/Day:46.872, et:0, leb:2, bs:8, ueb:4,
Net:-2.51592511692, Trade:3.59959763684, Cost:6.11552275376, Avg:-0.0201274009353 Std:0.0402519820064 Trades/Day:46.776, et:0, leb:2, bs:9, ueb:4,
Net:-5.52456512386, Trade:3.97076723435, Cost:9.49533235821, Avg:-0.0441965209909 Std:0.0505939117379 Trades/Day:123.664, et:1, leb:2, bs:1, ueb:4,
Net:-2.81526459284, Trade:4.06505300689, Cost:6.88031759973, Avg:-0.0225221167427 Std:0.0435837662834 Trades/Day:64.224, et:1, leb:2, bs:2, ueb:4,
Net:-2.48144292737, Trade:3.7559497936, Cost:6.23739272097, Avg:-0.019851543419 Std:0.0405778838634 Trades/Day:49.568, et:1, leb:2, bs:3, ueb:4,
Net:-2.49971906374, Trade:3.62943743239, Cost:6.12915649613, Avg:-0.0199977525099 Std:0.0402423744186 Trades/Day:47.104, et:1, leb:2, bs:4, ueb:4,
Net:-2.50755980692, Trade:3.61155892016, Cost:6.11911872709, Avg:-0.0200604784554 Std:0.0401825260867 Trades/Day:46.84, et:1, leb:2, bs:5, ueb:4,
Net:-2.51462075943, Trade:3.60071302045, Cost:6.11533377987, Avg:-0.0201169660754 Std:0.0402674716622 Trades/Day:46.76, et:1, leb:2, bs:6, ueb:4,
